Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99
0,10,1.02817448467326,3.0,1.2159999999999997,5.0,7.0,1.2159999999999997,5.0,0.6414552024289759,1.2159999999999997,1.4517353039281389,2.0,2.0,0.608,2.0,1.3157116679613536,5.0,3.0,4.0,0.8596998842291942,3.0,3.0,1.2159999999999997,0.8762021263059789,0.6818283493506095,5.0,2.504996053126945,2.068831149385714,0.8234279195708856,3.0,1.4109467591646316,0.608,1.50422319836122,0.6662445693142578,4.0,9.0,9.0,1.5599823916666193,1.3449068817046173,3.0,1.66454515530619,5.2616374113501205,2.0,0.7687915594268777,2.0,4.0,5.0,0.608,1.4975787961723026,0.608,1.1557846166284125,0.7407571825683477,5.0,3.0,5.0,6.0,0.6792637077910821,0.608,2.0,4.0,6.0,8.0,0.608,4.0,1.2159999999999997,0.608,0.7002997733318463,4.0,3.0,0.608,3.0,0.802291432979582,7.0,2.0,1.2937753023075418,1.2159999999999997,5.0,2.0,6.0,1.2159999999999997,1.2159999999999997,1.2159999999999997,3.0,2.0,0.608,0.875930750635468,1.2159999999999997,4.0,1.2159999999999997,5.0,2.0,0.6196844425355339,0.608,0.608,3.0,2.0,1.2159999999999997,1.2159999999999997,0.608,0.608,0.608
0,11,1.02817448467326,3.0,1.2159999999999997,5.0,7.0,1.2159999999999997,5.0,0.6414552024289759,1.2159999999999997,1.4517353039281389,2.0,2.0,0.608,2.0,1.3157116679613536,5.0,3.0,4.0,0.8596998842291942,3.0,3.0,1.2159999999999997,0.8762021263059789,0.6818283493506095,5.0,2.504996053126945,2.068831149385714,0.8234279195708856,3.0,1.4109467591646316,0.608,1.50422319836122,0.6662445693142578,4.0,9.0,9.0,1.5599823916666193,1.3449068817046173,3.0,1.66454515530619,5.2616374113501205,2.0,0.7687915594268777,2.0,4.0,5.0,0.608,1.4975787961723026,0.608,1.1557846166284125,0.7407571825683477,5.0,3.0,5.0,6.0,0.6792637077910821,0.608,2.0,4.0,6.0,8.0,0.608,4.0,1.2159999999999997,0.608,0.7002997733318463,4.0,3.0,0.608,3.0,0.802291432979582,7.0,2.0,1.2937753023075418,1.2159999999999997,5.0,2.0,6.0,1.2159999999999997,1.2159999999999997,1.2159999999999997,3.0,2.0,0.608,0.875930750635468,1.2159999999999997,4.0,1.2159999999999997,5.0,2.0,0.6196844425355339,0.608,0.608,3.0,2.0,1.2159999999999997,1.2159999999999997,0.608,0.608,0.608
0,12,1.02817448467326,3.0,1.2159999999999997,5.0,7.0,1.2159999999999997,5.0,0.6414552024289759,1.2159999999999997,1.4517353039281389,2.0,2.0,0.608,2.0,1.3157116679613536,5.0,3.0,4.0,0.8596998842291942,3.0,3.0,1.2159999999999997,0.8762021263059789,0.6818283493506095,5.0,2.504996053126945,2.068831149385714,0.8234279195708856,3.0,1.4109467591646316,0.608,1.50422319836122,0.6662445693142578,4.0,9.0,9.0,1.5599823916666193,1.3449068817046173,3.0,1.66454515530619,5.2616374113501205,2.0,0.7687915594268777,2.0,4.0,5.0,0.608,1.4975787961723026,0.608,1.1557846166284125,0.7407571825683477,5.0,3.0,5.0,6.0,0.6792637077910821,0.608,2.0,4.0,6.0,8.0,0.608,4.0,1.2159999999999997,0.608,0.7002997733318463,4.0,3.0,0.608,3.0,0.802291432979582,7.0,2.0,1.2937753023075418,1.2159999999999997,5.0,2.0,6.0,1.2159999999999997,1.2159999999999997,1.2159999999999997,3.0,2.0,0.608,0.875930750635468,1.2159999999999997,4.0,1.2159999999999997,5.0,2.0,0.6196844425355339,0.608,0.608,3.0,2.0,1.2159999999999997,1.2159999999999997,0.608,0.608,0.608
0,13,1.02817448467326,3.0,1.2159999999999997,5.0,7.0,1.2159999999999997,5.0,0.6414552024289759,1.2159999999999997,1.4517353039281389,2.0,2.0,0.608,2.0,1.3157116679613536,5.0,3.0,4.0,0.8596998842291942,3.0,3.0,1.2159999999999997,0.8762021263059789,0.6818283493506095,5.0,2.504996053126945,2.068831149385714,0.8234279195708856,3.0,1.4109467591646316,0.608,1.50422319836122,0.6662445693142578,4.0,9.0,9.0,1.5599823916666193,1.3449068817046173,3.0,1.66454515530619,5.2616374113501205,2.0,0.7687915594268777,2.0,4.0,5.0,0.608,1.4975787961723026,0.608,1.1557846166284125,0.7407571825683477,5.0,3.0,5.0,6.0,0.6792637077910821,0.608,2.0,4.0,6.0,8.0,0.608,4.0,1.2159999999999997,0.608,0.7002997733318463,4.0,3.0,0.608,3.0,0.802291432979582,7.0,2.0,1.2937753023075418,1.2159999999999997,5.0,2.0,6.0,1.2159999999999997,1.2159999999999997,1.2159999999999997,3.0,2.0,0.608,0.875930750635468,1.2159999999999997,4.0,1.2159999999999997,5.0,2.0,0.6196844425355339,0.608,0.608,3.0,2.0,1.2159999999999997,1.2159999999999997,0.608,0.608,0.608
0,14,1.02817448467326,3.0,1.2159999999999997,5.0,7.0,1.2159999999999997,5.0,0.6414552024289759,1.2159999999999997,1.4517353039281389,2.0,2.0,0.608,2.0,1.3157116679613536,5.0,3.0,4.0,0.8596998842291942,3.0,3.0,1.2159999999999997,0.8762021263059789,0.6818283493506095,5.0,2.504996053126945,2.068831149385714,0.8234279195708856,3.0,1.4109467591646316,0.608,1.50422319836122,0.6662445693142578,4.0,9.0,9.0,1.5599823916666193,1.3449068817046173,3.0,1.66454515530619,5.2616374113501205,2.0,0.7687915594268777,2.0,4.0,5.0,0.608,1.4975787961723026,0.608,1.1557846166284125,0.7407571825683477,5.0,3.0,5.0,6.0,0.6792637077910821,0.608,2.0,4.0,6.0,8.0,0.608,4.0,1.2159999999999997,0.608,0.7002997733318463,4.0,3.0,0.608,3.0,0.802291432979582,7.0,2.0,1.2937753023075418,1.2159999999999997,5.0,2.0,6.0,1.2159999999999997,1.2159999999999997,1.2159999999999997,3.0,2.0,0.608,0.875930750635468,1.2159999999999997,4.0,1.2159999999999997,5.0,2.0,0.6196844425355339,0.608,0.608,3.0,2.0,1.2159999999999997,1.2159999999999997,0.608,0.608,0.608
0,15,1.02817448467326,3.0,1.2159999999999997,5.0,7.0,1.2159999999999997,5.0,0.6414552024289759,1.2159999999999997,1.4517353039281389,2.0,2.0,0.608,2.0,1.3157116679613536,5.0,3.0,4.0,0.8596998842291942,3.0,3.0,1.2159999999999997,0.8762021263059789,0.6818283493506095,5.0,2.504996053126945,2.068831149385714,0.8234279195708856,3.0,1.4109467591646316,0.608,1.50422319836122,0.6662445693142578,4.0,9.0,9.0,1.5599823916666193,1.3449068817046173,3.0,1.66454515530619,5.2616374113501205,2.0,0.7687915594268777,2.0,4.0,5.0,0.608,1.4975787961723026,0.608,1.1557846166284125,0.7407571825683477,5.0,3.0,5.0,6.0,0.6792637077910821,0.608,2.0,4.0,6.0,8.0,0.608,4.0,1.2159999999999997,0.608,0.7002997733318463,4.0,3.0,0.608,3.0,0.802291432979582,7.0,2.0,1.2937753023075418,1.2159999999999997,5.0,2.0,6.0,1.2159999999999997,1.2159999999999997,1.2159999999999997,3.0,2.0,0.608,0.875930750635468,1.2159999999999997,4.0,1.2159999999999997,5.0,2.0,0.6196844425355339,0.608,0.608,3.0,2.0,1.2159999999999997,1.2159999999999997,0.608,0.608,0.608
0,16,1.02817448467326,3.0,1.2159999999999997,5.0,7.0,1.2159999999999997,5.0,0.6414552024289759,1.2159999999999997,1.4517353039281389,2.0,2.0,0.608,2.0,1.3157116679613536,5.0,3.0,4.0,0.8596998842291942,3.0,3.0,1.2159999999999997,0.8762021263059789,0.6818283493506095,5.0,2.504996053126945,2.068831149385714,0.8234279195708856,3.0,1.4109467591646316,0.608,1.50422319836122,0.6662445693142578,4.0,9.0,9.0,1.5599823916666193,1.3449068817046173,3.0,1.66454515530619,5.2616374113501205,2.0,0.7687915594268777,2.0,4.0,5.0,0.608,1.4975787961723026,0.608,1.1557846166284125,0.7407571825683477,5.0,3.0,5.0,6.0,0.6792637077910821,0.608,2.0,4.0,6.0,8.0,0.608,4.0,1.2159999999999997,0.608,0.7002997733318463,4.0,3.0,0.608,3.0,0.802291432979582,7.0,2.0,1.2937753023075418,1.2159999999999997,5.0,2.0,6.0,1.2159999999999997,1.2159999999999997,1.2159999999999997,3.0,2.0,0.608,0.875930750635468,1.2159999999999997,4.0,1.2159999999999997,5.0,2.0,0.6196844425355339,0.608,0.608,3.0,2.0,1.2159999999999997,1.2159999999999997,0.608,0.608,0.608
0,17,1.02817448467326,3.0,1.2159999999999997,5.0,7.0,1.2159999999999997,5.0,0.6414552024289759,1.2159999999999997,1.4517353039281389,2.0,2.0,0.608,2.0,1.3157116679613536,5.0,3.0,4.0,0.8596998842291942,3.0,3.0,1.2159999999999997,0.8762021263059789,0.6818283493506095,5.0,2.504996053126945,2.068831149385714,0.8234279195708856,3.0,1.4109467591646316,0.608,1.50422319836122,0.6662445693142578,4.0,9.0,9.0,1.5599823916666193,1.3449068817046173,3.0,1.66454515530619,5.2616374113501205,2.0,0.7687915594268777,2.0,4.0,5.0,0.608,1.4975787961723026,0.608,1.1557846166284125,0.7407571825683477,5.0,3.0,5.0,6.0,0.6792637077910821,0.608,2.0,4.0,6.0,8.0,0.608,4.0,1.2159999999999997,0.608,0.7002997733318463,4.0,3.0,0.608,3.0,0.802291432979582,7.0,2.0,1.2937753023075418,1.2159999999999997,5.0,2.0,6.0,1.2159999999999997,1.2159999999999997,1.2159999999999997,3.0,2.0,0.608,0.875930750635468,1.2159999999999997,4.0,1.2159999999999997,5.0,2.0,0.6196844425355339,0.608,0.608,3.0,2.0,1.2159999999999997,1.2159999999999997,0.608,0.608,0.608
0,18,1.02817448467326,3.0,1.2159999999999997,5.0,7.0,1.2159999999999997,5.0,0.6414552024289759,1.2159999999999997,1.4517353039281389,2.0,2.0,0.608,2.0,1.3157116679613536,5.0,3.0,4.0,0.8596998842291942,3.0,3.0,1.2159999999999997,0.8762021263059789,0.6818283493506095,5.0,2.504996053126945,2.068831149385714,0.8234279195708856,3.0,1.4109467591646316,0.608,1.50422319836122,0.6662445693142578,4.0,9.0,9.0,1.5599823916666193,1.3449068817046173,3.0,1.66454515530619,5.2616374113501205,2.0,0.7687915594268777,2.0,4.0,5.0,0.608,1.4975787961723026,0.608,1.1557846166284125,0.7407571825683477,5.0,3.0,5.0,6.0,0.6792637077910821,0.608,2.0,4.0,6.0,8.0,0.608,4.0,1.2159999999999997,0.608,0.7002997733318463,4.0,3.0,0.608,3.0,0.802291432979582,7.0,2.0,1.2937753023075418,1.2159999999999997,5.0,2.0,6.0,1.2159999999999997,1.2159999999999997,1.2159999999999997,3.0,2.0,0.608,0.875930750635468,1.2159999999999997,4.0,1.2159999999999997,5.0,2.0,0.6196844425355339,0.608,0.608,3.0,2.0,1.2159999999999997,1.2159999999999997,0.608,0.608,0.608
0,19,1.02817448467326,3.0,1.2159999999999997,5.0,7.0,1.2159999999999997,5.0,0.6414552024289759,1.2159999999999997,1.4517353039281389,2.0,2.0,0.608,2.0,1.3157116679613536,5.0,3.0,4.0,0.8596998842291942,3.0,3.0,1.2159999999999997,0.8762021263059789,0.6818283493506095,5.0,2.504996053126945,2.068831149385714,0.8234279195708856,3.0,1.4109467591646316,0.608,1.50422319836122,0.6662445693142578,4.0,9.0,9.0,1.5599823916666193,1.3449068817046173,3.0,1.66454515530619,5.2616374113501205,2.0,0.7687915594268777,2.0,4.0,5.0,0.608,1.4975787961723026,0.608,1.1557846166284125,0.7407571825683477,5.0,3.0,5.0,6.0,0.6792637077910821,0.608,2.0,4.0,6.0,8.0,0.608,4.0,1.2159999999999997,0.608,0.7002997733318463,4.0,3.0,0.608,3.0,0.802291432979582,7.0,2.0,1.2937753023075418,1.2159999999999997,5.0,2.0,6.0,1.2159999999999997,1.2159999999999997,1.2159999999999997,3.0,2.0,0.608,0.875930750635468,1.2159999999999997,4.0,1.2159999999999997,5.0,2.0,0.6196844425355339,0.608,0.608,3.0,2.0,1.2159999999999997,1.2159999999999997,0.608,0.608,0.608
0,20,1.02817448467326,3.0,1.2159999999999997,5.0,7.0,1.2159999999999997,5.0,0.6414552024289759,1.2159999999999997,1.4517353039281389,2.0,2.0,0.608,2.0,1.3157116679613536,5.0,3.0,4.0,0.8596998842291942,3.0,3.0,1.2159999999999997,0.8762021263059789,0.6818283493506095,5.0,2.504996053126945,2.068831149385714,0.8234279195708856,3.0,1.4109467591646316,0.608,1.50422319836122,0.6662445693142578,4.0,9.0,9.0,1.5599823916666193,1.3449068817046173,3.0,1.66454515530619,5.2616374113501205,2.0,0.7687915594268777,2.0,4.0,5.0,0.608,1.4975787961723026,0.608,1.1557846166284125,0.7407571825683477,5.0,3.0,5.0,6.0,0.6792637077910821,0.608,2.0,4.0,6.0,8.0,0.608,4.0,1.2159999999999997,0.608,0.7002997733318463,4.0,3.0,0.608,3.0,0.802291432979582,7.0,2.0,1.2937753023075418,1.2159999999999997,5.0,2.0,6.0,1.2159999999999997,1.2159999999999997,1.2159999999999997,3.0,2.0,0.608,0.875930750635468,1.2159999999999997,4.0,1.2159999999999997,5.0,2.0,0.6196844425355339,0.608,0.608,3.0,2.0,1.2159999999999997,1.2159999999999997,0.608,0.608,0.608
