Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99
0,22,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,23,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,24,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,25,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,26,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,27,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,28,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,29,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,30,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,31,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,32,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,33,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,34,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,35,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,36,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,37,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,38,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
0,39,15,12,15,3,2,9,15,8,13,3,9,13,2,5,3,2,12,3,7,4,7,1,3,6,2,2,13,9,7,12,12,5,0,15,3,8,13,13,5,0,2,14,12,3,6,13,1,14,0,10,10,9,5,0,9,7,11,14,4,1,0,7,0,2,7,12,10,5,5,10,7,8,2,3,15,5,15,1,5,11,1,7,0,0,13,13,0,10,8,0,2,5,14,3,12,4,15,2,4,5
1,0,15,7,8,10,8,9,7,6,15,12,13,8,15,12,2,1,11,12,0,1,14,1,11,8,13,14,6,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,5,6,3,3,9,9,2,2,0,8,0,6,10,8,11,7,9,11,15,1,1,7,7,1,7,1,8,12,11,5,14,14,5,7,3,7,12,1,5,1,7,2,8,10,2,4,13,5
1,1,15,7,8,10,8,9,7,6,5,12,13,8,15,12,1,7,0,9,0,4,14,1,11,8,13,14,6,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,5,5,13,3,9,5,7,12,14,8,0,6,10,8,11,7,9,11,15,1,1,7,7,1,7,12,8,12,0,5,14,14,5,7,3,7,12,14,4,1,7,2,8,6,2,4,4,5
1,2,15,7,8,10,4,9,7,6,5,12,13,8,15,12,1,7,0,9,0,4,14,1,11,8,13,14,6,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,5,13,3,9,5,7,12,14,8,0,6,10,8,11,7,9,11,15,1,1,7,7,1,5,12,8,12,0,5,14,14,5,7,3,7,12,14,4,1,7,2,8,6,2,4,4,5
1,3,15,7,8,10,4,9,7,6,5,12,13,8,15,12,1,7,0,9,0,4,14,1,11,8,13,14,6,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,5,13,3,9,5,7,12,14,8,0,6,10,8,11,7,9,11,15,8,1,7,7,1,5,12,8,12,0,5,14,14,5,5,3,7,12,14,4,1,7,2,8,6,2,4,4,1
1,4,15,7,8,10,4,9,7,6,5,12,5,8,15,12,1,7,0,9,0,4,14,1,11,8,13,14,6,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,5,13,3,9,5,7,12,14,8,0,6,10,8,11,7,9,11,15,8,1,7,7,1,5,12,8,12,0,5,14,14,5,5,3,7,12,1,4,1,7,2,8,6,2,4,4,1
1,5,15,7,8,10,4,9,7,6,5,12,5,8,15,12,1,7,0,9,0,4,14,1,11,8,13,14,6,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,6,10,8,11,7,9,11,15,8,1,7,7,1,5,2,8,12,0,5,14,14,5,5,3,7,12,1,4,1,7,2,8,6,2,4,4,1
1,6,15,7,8,10,4,9,7,6,5,12,5,8,15,12,1,7,0,9,0,4,14,1,11,8,13,14,6,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,6,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,12,0,5,14,14,5,5,3,7,6,1,4,1,7,2,8,6,2,4,4,1
1,7,15,7,8,10,4,9,7,6,5,12,5,8,3,12,1,7,0,9,0,4,14,1,11,8,13,14,6,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,6,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,12,0,5,14,14,5,5,3,7,6,1,4,1,7,2,8,6,2,4,4,1
1,8,15,7,8,10,4,9,7,6,5,12,5,8,3,12,1,7,0,9,0,4,14,1,11,8,13,14,11,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,11,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,12,0,5,14,14,1,5,3,7,6,1,4,1,7,2,8,6,2,4,8,1
1,9,15,7,8,10,4,9,7,6,5,12,5,8,3,12,1,7,2,9,0,4,14,1,11,8,13,14,11,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,11,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,7,0,5,14,14,1,5,3,7,6,1,4,1,7,2,8,6,2,4,8,1
1,10,15,7,2,10,4,9,7,6,5,12,5,8,3,12,1,7,2,9,0,4,14,1,11,8,13,14,11,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,11,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,7,0,5,14,14,1,5,3,7,6,1,4,1,7,2,8,6,2,8,8,1
1,11,15,7,2,10,4,9,7,6,5,12,5,8,3,12,1,7,2,9,0,4,14,1,11,8,13,14,11,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,11,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,7,0,5,14,14,1,5,3,7,6,1,4,1,7,2,8,6,2,8,8,1
1,12,15,7,2,10,4,9,7,6,5,12,5,8,3,12,1,7,2,9,0,4,14,1,11,8,13,14,11,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,11,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,7,0,5,14,14,1,5,3,7,6,1,4,1,7,2,8,6,2,8,8,1
1,13,15,7,2,10,4,9,7,6,5,12,5,8,3,12,1,7,2,9,0,4,14,1,11,8,13,14,11,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,11,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,7,0,5,14,14,1,5,3,7,6,1,4,1,7,2,8,6,2,8,8,1
1,14,15,7,2,10,4,9,7,6,5,12,5,8,3,12,1,7,2,9,0,4,14,1,11,8,13,14,11,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,11,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,7,0,5,14,14,1,5,3,7,6,1,4,1,7,2,8,6,2,8,8,1
1,15,15,7,2,10,4,9,7,6,5,12,5,8,3,12,1,7,2,9,0,4,14,1,11,8,13,14,11,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,11,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,7,0,5,14,14,1,5,3,7,6,1,4,1,7,2,8,6,2,8,8,1
1,16,15,7,2,10,4,9,7,6,5,12,5,8,3,12,1,7,2,9,0,4,14,1,11,8,13,14,11,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,11,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,7,0,5,14,14,1,5,3,7,6,1,4,1,7,2,8,6,2,8,8,1
1,17,15,7,2,10,4,9,7,6,5,12,5,8,3,12,1,7,2,9,0,4,14,1,11,8,13,14,11,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,11,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,7,0,5,14,14,1,5,3,7,6,1,4,1,7,2,8,6,2,8,8,1
1,18,15,7,2,10,4,9,7,6,5,12,5,8,3,12,1,7,2,9,0,4,14,1,11,8,13,14,11,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,11,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,7,0,5,14,14,1,5,3,7,6,1,4,1,7,2,8,6,2,8,8,1
1,19,15,7,2,10,4,9,7,6,5,12,5,8,3,12,1,7,2,9,0,4,14,1,11,8,13,14,11,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,11,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,7,0,5,14,14,1,5,3,7,6,1,4,1,7,2,8,6,2,8,8,1
1,20,15,7,2,10,4,9,7,6,5,12,5,8,3,12,1,7,2,9,0,4,14,1,11,8,13,14,11,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,11,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,7,0,5,14,14,1,5,3,7,6,1,4,1,7,2,8,6,2,8,8,1
1,21,15,7,2,10,4,9,7,6,5,12,5,8,3,12,1,7,2,9,0,4,14,1,11,8,13,14,11,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,11,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,7,0,5,14,14,1,5,3,7,6,1,4,1,7,2,8,6,2,8,8,1
1,22,15,7,2,10,4,9,7,6,5,12,5,8,3,12,1,7,2,9,0,4,14,1,11,8,13,14,11,10,6,4,2,15,10,13,9,3,2,14,2,0,9,3,12,12,9,13,3,6,13,6,3,1,7,2,13,3,9,5,7,12,14,8,0,11,10,8,11,7,9,11,13,8,1,7,8,1,5,2,8,7,0,5,14,14,1,5,3,7,6,1,4,1,7,2,8,6,2,8,8,1
